Learner Status,Work Status,Primary Campus,Online Courses Completed
Traditional,Part-time,University Park,0
Traditional,Part-time,University Park,4
Traditional,Not working,University Park,6
Traditional,Not working,University Park,0
Traditional,Not working,University Park,3
Traditional,Not working,University Park,0
Traditional,Not working,University Park,3
Traditional,Not working,University Park,0
Traditional,Part-time,University Park,0
Traditional,Not working,University Park,2
Traditional,Part-time,University Park,6
Traditional,,University Park,6
Traditional,Not working,University Park,0
Traditional,Not working,University Park,8
Traditional,Not working,University Park,0
Traditional,Part-time,University Park,0
Traditional,Part-time,University Park,1
Traditional,Full-time,University Park,1
Adult learner,Not working,University Park,1
Traditional,Full-time,University Park,0
Traditional,Not working,University Park,0
Traditional,Not working,University Park,1
Traditional,Part-time,University Park,2
Adult learner,Part-time,University Park,6
Traditional,Part-time,University Park,0
Traditional,Part-time,University Park,0
Traditional,Not working,University Park,0
Traditional,Not working,University Park,0
Traditional,Full-time,University Park,8
Traditional,Part-time,University Park,0
Traditional,Part-time,University Park,2
Traditional,Not working,University Park,3
Traditional,Part-time,University Park,0
Traditional,Not working,University Park,3
Traditional,Not working,University Park,4
Traditional,Not working,University Park,0
Traditional,Not working,University Park,2
Traditional,Part-time,University Park,2
Traditional,Not working,University Park,1
Traditional,Not working,University Park,0
Traditional,Full-time,University Park,4
Traditional,Not working,University Park,1
Traditional,Not working,University Park,3
Traditional,Part-time,University Park,3
Traditional,Not working,University Park,1
Traditional,Not working,University Park,4
Traditional,Not working,University Park,5
Adult learner,Full-time,University Park,0
Traditional,Part-time,University Park,4
Traditional,Part-time,University Park,2
Traditional,Not working,University Park,2
Traditional,Part-time,University Park,0
Traditional,Not working,University Park,1
Traditional,Not working,University Park,0
Traditional,,University Park,0
Adult learner,Part-time,University Park,6
Traditional,Not working,University Park,2
Traditional,Not working,University Park,4
Traditional,Part-time,University Park,1
Traditional,Not working,University Park,0
Traditional,Part-time,University Park,1
Traditional,Not working,University Park,2
Adult learner,Full-time,World Campus,6
Adult learner,Full-time,World Campus,16
Traditional,Part-time,University Park,0
Traditional,Part-time,University Park,5
Traditional,Part-time,University Park,3
Adult learner,Not working,World Campus,20
Traditional,Part-time,University Park,1
Adult learner,Full-time,World Campus,4
Traditional,Part-time,University Park,0
Adult learner,Full-time,World Campus,10
Traditional,Part-time,World Campus,20
Adult learner,Part-time,World Campus,7
Traditional,Not working,University Park,2
Traditional,Full-time,World Campus,0
Traditional,Not working,University Park,0
Adult learner,Full-time,World Campus,15
Traditional,Part-time,University Park,2
Adult learner,Full-time,World Campus,0
Adult learner,Full-time,World Campus,2
Traditional,Not working,University Park,0
Traditional,Part-time,University Park,4
Traditional,Part-time,Commonwealth Campus,2
Traditional,Part-time,University Park,3
Adult learner,Full-time,World Campus,30
Adult learner,Full-time,World Campus,20
Traditional,Not working,University Park,5
Adult learner,Full-time,World Campus,10
Adult learner,Full-time,World Campus,7
Adult learner,Part-time,University Park,0
Traditional,Not working,University Park,2
Adult learner,Full-time,World Campus,4
Traditional,Part-time,University Park,0
Traditional,Full-time,University Park,2
Adult learner,Full-time,World Campus,12
Traditional,Part-time,University Park,
Traditional,Part-time,University Park,4
Adult learner,Not working,World Campus,
Traditional,Full-time,University Park,2
Adult learner,Full-time,World Campus,20
Adult learner,Full-time,World Campus,4
Adult learner,Full-time,World Campus,30
Adult learner,Full-time,World Campus,0
Adult learner,Part-time,Commonwealth Campus,0
Traditional,Part-time,University Park,4
Adult learner,Full-time,World Campus,2
Adult learner,Not working,World Campus,9
Adult learner,Full-time,World Campus,16
Adult learner,Full-time,World Campus,9
Adult learner,Not working,World Campus,50
Adult learner,Part-time,World Campus,5
Adult learner,Full-time,World Campus,0
Adult learner,Part-time,World Campus,4
Adult learner,Not working,World Campus,4
Traditional,Part-time,Commonwealth Campus,2
Traditional,Not working,University Park,11
Traditional,Part-time,University Park,1
Adult learner,Part-time,World Campus,20
Traditional,Part-time,University Park,5
Traditional,Not working,University Park,2
Traditional,Not working,University Park,2
Traditional,Part-time,University Park,1
Traditional,Part-time,University Park,3
Traditional,Full-time,University Park,1
Adult learner,Full-time,World Campus,6
Adult learner,Full-time,World Campus,7
Traditional,Part-time,University Park,4
Traditional,Part-time,University Park,3
Traditional,Not working,University Park,6
Traditional,Not working,Commonwealth Campus,2
Traditional,Full-time,University Park,3
Traditional,Not working,University Park,2
Traditional,Full-time,University Park,2
Traditional,Part-time,University Park,6
Traditional,Not working,World Campus,5
Adult learner,Full-time,World Campus,35
Adult learner,Full-time,World Campus,10
Adult learner,Full-time,World Campus,50
Traditional,Not working,University Park,4
Traditional,Not working,University Park,3
Adult learner,Part-time,University Park,1
Adult learner,Not working,World Campus,5
Traditional,Not working,University Park,4
Adult learner,Not working,World Campus,3
Adult learner,Full-time,World Campus,8
Adult learner,Not working,World Campus,5
Adult learner,Full-time,World Campus,14
Traditional,Part-time,University Park,1
Traditional,Part-time,World Campus,12
Adult learner,Not working,World Campus,1
Traditional,Part-time,University Park,4
Traditional,Part-time,University Park,2
Adult learner,Full-time,World Campus,6
Traditional,Not working,World Campus,9
Traditional,Not working,University Park,0
Traditional,Full-time,World Campus,22
Adult learner,Full-time,University Park,0
Traditional,Not working,University Park,0
Traditional,Not working,University Park,2
Adult learner,Full-time,World Campus,0
Traditional,Part-time,University Park,5
Adult learner,Part-time,University Park,4
Traditional,Part-time,University Park,0
Traditional,Not working,University Park,0
Traditional,Part-time,University Park,3
Traditional,Part-time,University Park,0
Traditional,Part-time,University Park,0
Adult learner,Full-time,World Campus,12
Traditional,Part-time,University Park,3
Traditional,Full-time,University Park,3
Traditional,Not working,University Park,1
Adult learner,Full-time,World Campus,6
Traditional,Not working,World Campus,5
Adult learner,Full-time,World Campus,9
Adult learner,Full-time,World Campus,8
Traditional,Part-time,University Park,4
Adult learner,Not working,World Campus,5
Adult learner,Full-time,World Campus,8
Adult learner,Full-time,World Campus,0
Traditional,Part-time,University Park,5
Traditional,Not working,University Park,0
Traditional,Not working,University Park,4
Traditional,Full-time,University Park,2
Traditional,Part-time,University Park,4
Adult learner,Not working,University Park,6
Adult learner,Not working,University Park,1
Adult learner,Full-time,World Campus,34
Traditional,Part-time,University Park,0
Traditional,Full-time,University Park,2
Traditional,Full-time,World Campus,0
Traditional,Part-time,University Park,4
Adult learner,Full-time,World Campus,4
Traditional,Not working,University Park,0
Adult learner,Part-time,University Park,0
Traditional,Part-time,University Park,0
Adult learner,Not working,World Campus,10
Traditional,Not working,University Park,12
Traditional,Part-time,World Campus,12
Adult learner,Part-time,Commonwealth Campus,5
Traditional,Full-time,World Campus,15
Adult learner,Part-time,University Park,2
Adult learner,Not working,World Campus,12
Adult learner,Part-time,University Park,36
Adult learner,Full-time,World Campus,5
Adult learner,Full-time,World Campus,6
Traditional,Part-time,University Park,1
Adult learner,Not working,World Campus,10
Adult learner,Full-time,World Campus,14
Adult learner,Full-time,World Campus,12
Traditional,Full-time,World Campus,8
Adult learner,Full-time,World Campus,8
Adult learner,Full-time,World Campus,12
Traditional,Not working,University Park,0
Traditional,Not working,University Park,1
Traditional,Not working,University Park,3
Traditional,Not working,University Park,1
Adult learner,Not working,World Campus,16
Traditional,Part-time,University Park,1
Traditional,Not working,World Campus,11
Traditional,Full-time,World Campus,0
Traditional,Not working,University Park,1
Traditional,Part-time,World Campus,0
Traditional,Not working,University Park,0
Adult learner,Full-time,World Campus,20
Adult learner,Full-time,World Campus,25
,Not working,World Campus,9
Adult learner,Full-time,World Campus,30
Adult learner,Full-time,World Campus,12
Traditional,Part-time,University Park,2
Adult learner,Full-time,World Campus,7
Traditional,Not working,University Park,5
Adult learner,Not working,World Campus,18
Traditional,Not working,University Park,5
Traditional,Full-time,University Park,3
Adult learner,Full-time,World Campus,30
Traditional,Not working,University Park,3
Traditional,Part-time,University Park,1
Adult learner,Full-time,World Campus,6
Traditional,Part-time,University Park,0
Adult learner,Full-time,World Campus,12
Traditional,Full-time,University Park,0
Traditional,Part-time,World Campus,5
Adult learner,Not working,World Campus,30
Traditional,Part-time,University Park,4
Traditional,Part-time,University Park,6
Traditional,Part-time,University Park,2
Traditional,Not working,University Park,0
Traditional,Part-time,University Park,1
Adult learner,Full-time,World Campus,7
Traditional,Part-time,University Park,3
Traditional,Part-time,University Park,0
Traditional,Full-time,University Park,2
Traditional,Part-time,World Campus,10
Traditional,Not working,University Park,1
Traditional,Not working,University Park,2
Adult learner,Not working,World Campus,8
Traditional,Not working,World Campus,4
Traditional,Part-time,University Park,2
Traditional,Part-time,University Park,1
Adult learner,Full-time,World Campus,18
Adult learner,Full-time,World Campus,2
Traditional,Not working,University Park,0
Adult learner,Full-time,World Campus,3
Traditional,Not working,University Park,5
Adult learner,Full-time,World Campus,15
Traditional,Not working,University Park,0
Traditional,Full-time,University Park,0
Traditional,Full-time,World Campus,2
Traditional,Not working,University Park,0
Traditional,Not working,University Park,3
Adult learner,Full-time,World Campus,4
Traditional,Not working,University Park,3
Adult learner,Full-time,World Campus,8
Traditional,Not working,University Park,0
Adult learner,Full-time,World Campus,15
Traditional,Part-time,University Park,0
Traditional,Not working,University Park,2
Traditional,Not working,University Park,1
Traditional,Not working,University Park,1
Adult learner,Not working,University Park,2
Traditional,Not working,University Park,0
Adult learner,Not working,University Park,10
Traditional,Part-time,University Park,0
Traditional,Not working,University Park,1
Traditional,Full-time,University Park,3
Traditional,Part-time,University Park,2
Traditional,Not working,University Park,4
Traditional,Part-time,University Park,5
Traditional,Part-time,University Park,3
Traditional,Part-time,University Park,0
Traditional,Not working,University Park,1
Traditional,Part-time,University Park,4
Adult learner,Not working,World Campus,5
Traditional,Not working,University Park,1
Traditional,Part-time,University Park,5
Traditional,Not working,University Park,1
Traditional,Part-time,University Park,5
Traditional,Full-time,University Park,2
Traditional,Not working,University Park,2
Traditional,Not working,University Park,0
Adult learner,Full-time,World Campus,2
Adult learner,Full-time,World Campus,5
Traditional,Part-time,University Park,0
Adult learner,Full-time,World Campus,13
Traditional,Not working,University Park,1
Traditional,Not working,University Park,1
Traditional,Part-time,University Park,2
Adult learner,Full-time,University Park,2
Adult learner,Full-time,World Campus,6
Adult learner,Not working,University Park,1
Traditional,Not working,University Park,6
